,filename,preproc_ms,work_ms
216,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group_projection_block_group1.mtx,0.02864,0.01392
217,dlmc/rn50/random_pruning/0.98/final_dense.mtx,0.043264,0.022944
218,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group_projection_block_group4.mtx,0.053856,0.022144
219,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group3_2_1.mtx,0.036096,0.013728
220,dlmc/rn50/random_pruning/0.98/bottleneck_projection_block_group_projection_block_group3.mtx,0.028128,0.013568
221,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group3_4_1.mtx,0.035392,0.014464
222,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group1_1_1.mtx,0.028256,0.014272
223,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group2_1_1.mtx,0.028896,0.014304
224,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group3_1_1.mtx,0.038336,0.01488
225,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group3_2_1.mtx,0.02752,0.014112
226,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group3_1_1.mtx,0.04544,0.014016
227,dlmc/rn50/random_pruning/0.98/initial_conv.mtx,0.032416,0.014368
228,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group_projection_block_group3.mtx,0.02784,0.013888
229,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group2_3_1.mtx,0.03776,0.014336
230,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group2_1_1.mtx,0.03776,0.01456
231,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group3_2_1.mtx,0.04624,0.01488
232,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group_projection_block_group2.mtx,0.02752,0.014368
233,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group_projection_block_group1.mtx,0.027904,0.014752
234,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group2_2_1.mtx,0.038304,0.015136
235,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group3_5_1.mtx,0.037024,0.014208
236,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group4_2_1.mtx,0.027392,0.014304
237,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group2_2_1.mtx,0.028416,0.013856
238,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group3_5_1.mtx,0.04656,0.014784
239,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group_projection_block_group1.mtx,0.031488,0.0144
240,dlmc/rn50/random_pruning/0.98/bottleneck_projection_block_group_projection_block_group4.mtx,0.038272,0.027488
241,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group_projection_block_group4.mtx,0.027808,0.014048
242,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group_projection_block_group3.mtx,0.045568,0.014912
243,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group1_1_1.mtx,0.031776,0.015232
244,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group2_2_1.mtx,0.027264,0.014304
245,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group1_1_1.mtx,0.029984,0.015136
246,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group_projection_block_group3.mtx,0.030112,0.015488
247,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group2_3_1.mtx,0.029344,0.013888
248,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group3_3_1.mtx,0.028064,0.014144
249,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group3_5_1.mtx,0.027136,0.01408
250,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group3_3_1.mtx,0.037312,0.014144
251,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group4_2_1.mtx,0.035744,0.014208
252,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group_projection_block_group2.mtx,0.037408,0.013984
253,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group4_1_1.mtx,0.054944,0.022528
254,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group1_2_1.mtx,0.030112,0.014816
255,dlmc/rn50/random_pruning/0.98/bottleneck_projection_block_group_projection_block_group2.mtx,0.027264,0.013888
256,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group_projection_block_group2.mtx,0.029952,0.014784
257,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group3_3_1.mtx,0.04576,0.014944
258,dlmc/rn50/random_pruning/0.98/bottleneck_projection_block_group_projection_block_group1.mtx,0.028608,0.01472
259,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group2_1_1.mtx,0.02688,0.01392
260,dlmc/rn50/random_pruning/0.98/bottleneck_3_block_group2_3_1.mtx,0.029088,0.014752
261,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group1_2_1.mtx,0.031712,0.014272
262,dlmc/rn50/random_pruning/0.98/bottleneck_2_block_group3_4_1.mtx,0.045568,0.014848
263,dlmc/rn50/random_pruning/0.98/bottleneck_1_block_group_projection_block_group4.mtx,0.038496,0.015488
